czas(min),alpha,temp,Ts
0,1,"6,50",2
15,0,"6,35","2,18"
30,0,"6,20","2,19"
45,1,"6,05","1,68"
60,1,"5,90","1,5"
75,0,"5,74","1,64"
90,0,"5,59","1,62"
105,0,"5,44","1,56"
120,0,"5,30","1,54"
135,0,"5,26","1,82"
150,0,"5,23","1,86"
165,0,"5,21","1,89"
180,1,"5,20","1,2"
195,1,"5,32","1,2"
210,0,"5,44","1,36"
225,1,"5,57","1,24"
240,1,"5,70","1,07"
255,0,"5,60","1,22"
270,0,"5,49","1,22"
285,0,"5,39","1,48"
300,0,"5,30","1,53"
315,1,"5,39","1,12"
330,0,"5,49","1,26"
345,0,"5,59","1,47"
360,0,"5,70","1,51"
375,0,"5,74","1,54"
390,0,"5,79","1,57"
405,1,"5,84","1,15"
420,1,"5,90",1
435,1,"5,99","0,9"
450,1,"6,09","0,84"
465,1,"6,19","0,79"
480,1,"6,30","0,73"
495,1,"6,55","0,69"
510,1,"6,81","0,64"
525,1,"7,06","0,6"
540,0,"7,30","0,79"
555,0,"7,29","0,81"
570,0,"7,26","0,8"
585,0,"7,23","0,76"
600,0,"7,20","0,77"
615,1,"7,30","0,67"
630,1,"7,41","0,52"
645,0,"7,51","0,69"
660,1,"7,60","0,6"
675,1,"7,71","0,45"
690,1,"7,82","0,41"
705,1,"7,91","0,37"
720,0,"8,00","0,57"
735,0,"7,99","0,59"
750,0,"7,97","0,84"
765,0,"7,94","0,93"
780,0,"7,90","0,98"
795,0,"7,87","1,03"
810,0,"7,83","1,08"
825,0,"7,77","1,12"
840,1,"7,70","0,71"
855,0,"7,57","0,77"
870,0,"7,42","0,78"
885,0,"7,27","0,77"
900,1,"7,10","0,65"
915,0,"6,91","0,71"
930,0,"6,71","0,68"
945,0,"6,51","0,66"
960,0,"6,30","0,65"
975,0,"6,00","0,89"
990,1,"5,70","0,54"
1005,1,"5,40","0,46"
1020,1,"5,10","0,27"
1035,1,"4,94","0,2"
1050,1,"4,78","0,13"
1065,1,"4,64","0,06"
1080,1,"4,50","-0,01"
1095,1,"4,33","-0,07"
1110,1,"4,18","-0,14"
1125,0,"4,03","0,03"
1140,0,"3,90","0,02"
1155,0,"3,91","0,18"
1170,0,"3,93","0,26"
1185,0,"3,96","0,3"
1200,0,"4,00","0,32"
1215,0,"4,05","0,35"
1230,0,"4,10","0,37"
1245,0,"4,15","0,4"
1260,0,"4,20","0,42"
1275,0,"4,44","0,46"
1290,0,"4,68","0,49"
1305,0,"4,90","0,53"
1320,0,"5,10","0,57"
1335,0,"4,70","0,58"
1350,1,"4,28","0,16"
1365,1,"3,84","-0,04"
1380,0,"3,40","0,09"
1395,1,"3,27","-0,03"
1410,1,"3,15","-0,22"
1425,1,"3,02","-0,3"
1440,1,"2,90","-0,37"
1455,1,"2,75","-0,45"
1470,1,"2,60","-0,52"
1485,1,"2,45","-0,6"
1500,1,"2,30","-0,67"
1515,1,"2,04","-0,75"
1530,1,"1,78","-0,84"
1545,0,"1,54","-0,68"
1560,0,"1,30","-0,7"
1575,0,"1,15","-0,72"
1590,0,"1,01","-0,57"
1605,0,"0,90","-0,55"
1620,0,"0,80","-0,55"
1635,0,"0,98","-0,53"
1650,1,"1,18","-1,01"
1665,1,"1,39","-1,09"
1680,0,"1,60","-0,91"
1695,1,"1,30","-1,17"
1710,1,"1,02","-1,26"
1725,1,"0,75","-1,34"
1740,0,"0,50","-1,19"
1755,0,"0,60","-1,2"
1770,0,"0,74","-1,2"
1785,0,"0,90","-1,28"
1800,0,"1,10","-1,28"
1815,1,"1,46","-1,37"
1830,0,"1,85","-1,3"
1845,0,"2,27","-1,28"
1860,0,"2,70","-1,25"
1875,0,"3,19","-1,08"
1890,0,"3,69",-1
1905,0,"4,19","-0,94"
1920,0,"4,70","-0,88"
1935,1,"5,08","-1,14"
1950,1,"5,46","-1,25"
1965,1,"5,83","-1,3"
1980,1,"6,20","-1,31"
1995,1,"6,78","-1,31"
2010,0,"7,34","-1,07"
2025,0,"7,88",-1
2040,0,"8,40","-0,92"
2055,0,"8,47","-0,71"
2070,0,"8,51","-0,61"
2085,1,"8,51","-1,05"
2100,1,"8,50","-1,06"
2115,1,"8,37","-1,08"
2130,0,"8,22","-0,86"
2145,0,"8,06","-0,82"
2160,0,"7,90","-0,75"
2175,0,"8,50","-0,52"
2190,0,"9,09","-0,41"
2205,0,"9,66","-0,3"
2220,0,"10,20","-0,2"
2235,0,"10,33","-0,11"
2250,0,"10,41","-0,03"
2265,0,"10,44","0,05"
2280,0,"10,40","0,13"
2295,0,"9,00","0,13"
2310,0,"7,56","0,12"
2325,1,"6,12","-0,43"
2340,1,"4,70","-0,56"
2355,1,"4,95","-0,59"
2370,1,"5,25","-0,63"
2385,1,"5,57","-0,65"
2400,1,"5,90","-0,68"
2415,0,"5,67","-0,5"
2430,1,"5,44","-0,59"
2445,0,"5,22","-0,54"
2460,0,"5,00","-0,52"
2475,1,"4,83","-0,64"
2490,0,"4,68","-0,59"
2505,0,"4,53","-0,57"
2520,1,"4,40","-0,69"
2535,1,"4,28","-0,74"
2550,1,"4,17","-0,93"
2565,1,"4,08","-0,98"
2580,1,"4,00","-1,03"
2595,0,"4,11","-0,84"
2610,1,"4,23","-0,91"
2625,1,"4,36","-1,07"
2640,1,"4,50","-1,12"
2655,0,"4,60","-0,92"
2670,0,"4,70","-0,9"
2685,1,"4,80","-0,98"
2700,1,"4,90","-1,15"
2715,1,"4,91","-1,2"
2730,1,"4,91","-1,23"
2745,1,"4,91","-1,27"
2760,1,"4,90","-1,31"
2775,1,"4,91","-1,34"
2790,1,"4,91","-1,38"
2805,0,"4,91","-1,18"
2820,0,"4,90","-1,15"
2835,0,"4,86","-1,13"
2850,1,"4,81","-1,22"
2865,1,"4,76","-1,26"
2880,1,"4,70","-1,24"
2895,1,"4,60","-1,27"
2910,0,"4,51","-1,21"
2925,0,"4,40","-1,19"
2940,0,"4,30","-1,03"
2955,0,"4,22","-0,97"
2970,1,"4,15","-1,24"
2985,0,"4,07","-1,18"
3000,0,"4,00","-1,16"
3015,0,"3,82","-1,01"
3030,1,"3,64","-1,26"
3045,0,"3,46","-1,22"
3060,0,"3,30","-1,21"
3075,1,"3,39","-1,31"
3090,1,"3,48","-1,49"
3105,1,"3,59","-1,54"
3120,1,"3,70","-1,57"
3135,1,"3,75","-1,61"
3150,1,"3,80","-1,65"
3165,1,"3,85","-1,69"
3180,1,"3,90","-1,72"
3195,1,"3,77","-1,77"
3210,0,"3,64","-1,58"
3225,1,"3,52","-1,62"
3240,1,"3,40","-1,67"
3255,0,"3,41","-1,61"
3270,1,"3,43","-1,79"
3285,1,"3,46","-1,88"
3300,1,"3,50","-1,92"
3315,1,"3,67","-1,94"
3330,1,"3,84","-1,97"
3345,1,"4,02",-2
3360,0,"4,20","-1,77"
3375,0,"4,14","-1,74"
3390,0,"4,09","-1,72"
3405,0,"4,04","-1,58"
3420,0,"4,00","-1,52"
3435,1,"4,21","-1,74"
3450,1,"4,44","-1,75"
3465,1,"4,67","-1,9"
3480,1,"4,90","-1,93"
3495,1,"4,97","-1,95"
3510,1,"5,05","-1,97"
3525,1,"5,12","-1,99"
3540,1,"5,20","-2,01"
3555,1,"5,37","-2,02"
3570,1,"5,55","-2,04"
3585,1,"5,72","-2,05"
3600,0,"5,90","-1,8"
3615,1,"6,24","-1,84"
3630,1,"6,57","-1,79"
3645,1,"6,90","-1,78"
3660,1,"7,20","-1,75"
3675,0,"7,31","-1,66"
3690,1,"7,40","-1,7"
3705,1,"7,46","-1,85"
3720,1,"7,50","-1,85"
3735,1,"7,49","-1,85"
3750,0,"7,46","-1,63"
3765,1,"7,39","-1,64"
3780,0,"7,30","-1,54"
3795,0,"7,20","-1,37"
3810,0,"7,07","-1,29"
3825,0,"6,90","-1,23"
3840,0,"6,70","-1,18"
3855,0,"5,79","-1,17"
3870,0,"4,86","-1,17"
3885,0,"3,92","-1,18"
3900,0,"3,00","-1,19"
3915,0,"2,84","-1,18"
3930,0,"2,71","-1,16"
3945,1,"2,59","-1,44"
3960,1,"2,50","-1,48"
3975,1,"2,30","-1,49"
3990,1,"2,11","-1,55"
4005,1,"1,95","-1,71"
4020,1,"1,80","-1,8"
4035,1,"1,94","-1,85"
4050,1,"2,09","-1,89"
4065,0,"2,24","-1,7"
4080,0,"2,40","-1,68"
4095,0,"2,18","-1,69"
4110,1,"1,95","-1,8"
4125,1,"1,72",-2
4140,1,"1,50","-2,07"
4155,0,"1,39","-1,89"
4170,0,"1,29","-1,89"
4185,0,"1,19","-1,89"
4200,0,"1,10","-1,9"
4215,1,"0,99","-2,01"
4230,1,"0,88","-2,2"
4245,1,"0,79","-2,28"
4260,1,"0,70","-2,34"
4275,1,"0,69","-2,39"
4290,1,"0,68","-2,44"
4305,1,"0,69","-2,5"
4320,1,"0,70","-2,55"
4335,1,"0,66","-2,6"
4350,1,"0,63","-2,65"
4365,1,"0,61","-2,7"
4380,1,"0,60","-2,75"
4395,1,"0,82","-2,79"
4410,1,"1,04","-2,82"
4425,0,"1,27","-2,59"
4440,0,"1,50","-2,56"
4455,0,"1,56","-2,55"
4470,0,"1,61","-2,54"
4485,0,"1,66","-2,53"
4500,1,"1,70","-2,62"
4515,0,"1,57","-2,57"
4530,0,"1,44","-2,57"
4545,0,"1,32","-2,55"
4560,0,"1,20","-2,47"
4575,0,"1,12","-2,43"
4590,0,"1,06","-2,41"
4605,1,"1,02","-2,61"
4620,1,"1,00","-2,65"
